Countries,Keywords,Ratings_Average
Italie,"cat's pee",4.35
Espagne,"baby's breath",4.35
Espagne,"chalk dust",4.34
Espagne,"yellow beet",4.3
Italie,"mushroom broth",4.3
Italie,"melon rind",4.3
Espagne,lager,4.3
Italie,"clay dust",4.3
Italie,"white nectarine",4.27
Italie,"peanut shell",4.27
Italie,"wood ear",4.25
Italie,"unripe pear",4.25
