wine_name,vintage_name,vintage_year,wine_ratings_average,wine_ratings_count,vintage_ratings_average,vintage_rating_count,liter_price_euros,in_top_list,country
Barbaresco,Gaja Barbaresco 2000,2000,4.5,24516,4.6,571,655.0,0,Italie
Messorio,Le Macchiole Messorio 2004,2004,4.5,5514,4.6,271,825.0,0,Italie
Clos du Mesnil,Krug Clos du Mesnil 1990,1990,4.7,2471,4.7,147,6690.0,0,France
Collection,Krug Collection 1990,1990,4.7,2184,4.7,207,3273.3333333333335,0,France
Barolo Cascina Francia,Giacomo Conterno Barolo Cascina Francia 2006,2006,4.5,6045,4.5,426,796.6666666666666,0,Italie
Pessac-Léognan (Grand Cru Classé de Graves),Château Pape Clément Pessac-Léognan (Grand Cru Classé de Graves) 2006,2006,4.4,27316,4.4,1415,200.06666666666666,0,France
Brunello di Montalcino Riserva,Biondi-Santi Brunello di Montalcino Riserva 2001,2001,4.6,3375,4.6,136,1060.0,0,Italie
Romanée-Saint-Vivant Grand Cru (Marey-Monge),Domaine de La Romanée-Conti Romanée-Saint-Vivant Grand Cru (Marey-Monge) 1993,1993,4.7,6597,4.6,106,11285.0,0,France
Clos des Lambrays Grand Cru,Domaine des Lambrays Clos des Lambrays Grand Cru 2005,2005,4.4,6431,4.4,283,1252.5,0,France
Barolo Riserva Monfortino,Giacomo Conterno Barolo Riserva Monfortino 1998,1998,4.7,5013,4.7,128,3663.3333333333335,0,Italie
Saint-Julien (Grand Cru Classé),Château Gruaud Larose Saint-Julien (Grand Cru Classé) 2005,2005,4.3,32627,4.4,1800,273.3333333333333,0,France
Châteauneuf-du-Pape,Château Rayas Châteauneuf-du-Pape 2006,2006,4.7,7544,4.7,869,4411.666666666667,1,France
Châteauneuf-du-Pape,Château Rayas Châteauneuf-du-Pape 2006,2006,4.7,7544,4.7,869,4411.666666666667,1,France
Amarone della Valpolicella Monte Lodoletta,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2003,2003,4.7,7947,4.7,355,911.6666666666666,1,Italie
Valpolicella Superiore Monte Lodoletta,Dal Forno Romano Valpolicella Superiore Monte Lodoletta 2004,2004,4.5,13024,4.5,581,325.0,1,Italie
Valpolicella Superiore Monte Lodoletta,Dal Forno Romano Valpolicella Superiore Monte Lodoletta 2004,2004,4.5,13024,4.5,581,325.0,1,Italie
Recioto della Valpolicella (Monte Lodoletta),Dal Forno Romano Recioto della Valpolicella (Monte Lodoletta) 1997,1997,4.6,227,4.7,75,1003.3333333333334,0,Italie
Barolo Ciabot Mentin Ginestra,Domenico Clerico Barolo Ciabot Mentin Ginestra 2006,2006,4.3,3525,4.4,225,225.0,0,Italie
Lupicaia,Castello del Terriccio Lupicaia 2006,2006,4.4,4414,4.5,408,325.0,0,Italie
Cabernet Sauvignon,Leonetti Cabernet Sauvignon 2006,2006,4.5,3087,4.7,64,268.3333333333333,0,États-Unis
Amarone della Valpolicella Monte Lodoletta,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2001,2001,4.7,7947,4.7,266,1060.0,0,Italie
Amarone della Valpolicella Monte Lodoletta,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2002,2002,4.7,7947,4.7,217,1048.3333333333333,0,Italie
Valpolicella Superiore Monte Lodoletta,Dal Forno Romano Valpolicella Superiore Monte Lodoletta 2003,2003,4.5,13024,4.5,405,283.3333333333333,0,Italie
L'Apparita,Castello di Ama L'Apparita 1995,1995,4.4,3836,4.5,104,383.33333333333337,0,Italie
Clos des Lambrays Grand Cru,Domaine des Lambrays Clos des Lambrays Grand Cru 2002,2002,4.4,6431,4.5,303,1124.1666666666667,0,France
L'Extravagant de Doisy-Daëne Sauternes,Château Doisy-Daëne L'Extravagant de Doisy-Daëne Sauternes 2006,2006,4.6,465,0.0,24,736.6666666666667,0,France
Clos de la Coulée de Serrant,Nicolas Joly Clos de la Coulée de Serrant 2008,2008,4.3,8365,4.4,262,353.3333333333333,0,France
Tenuta Tignanello 'Solaia',Antinori Tenuta Tignanello 'Solaia' 1997,1997,4.6,33143,4.7,1061,982.5,1,Italie
Tenuta Tignanello 'Solaia',Antinori Tenuta Tignanello 'Solaia' 1997,1997,4.6,33143,4.7,1061,982.5,1,Italie
Veneto Rosso del Bepi,Quintarelli Giuseppe Veneto Rosso del Bepi 1999,1999,4.6,3747,4.5,320,325.0,0,Italie
Vosne-Romanée 1er Cru 'Aux Malconsorts',Domaine Sylvain Cathiard Vosne-Romanée 1er Cru 'Aux Malconsorts' 2008,2008,4.5,681,4.5,36,2790.0,0,France
Tenuta Tignanello 'Solaia',Antinori Tenuta Tignanello 'Solaia' 1999,1999,4.6,33143,4.6,670,925.0,0,Italie
Cerretalto Brunello di Montalcino,Casanova di Neri Cerretalto Brunello di Montalcino 2004,2004,4.7,5373,4.6,633,711.6666666666666,0,Italie
Cristal Brut Champagne (Millésimé),Louis Roederer Cristal Brut Champagne (Millésimé) 2008,2008,4.6,42456,4.7,4757,1380.8333333333333,0,France
Vintage,Krug Vintage 2008,2008,4.6,16918,4.6,1193,1680.0,0,France
Clos du Mesnil,Krug Clos du Mesnil 1998,1998,4.7,2471,4.8,235,4696.666666666666,0,France
Barolo Rocche,Renato Ratti Barolo Rocche 2006,2006,4.4,1615,4.4,331,278.3333333333333,1,Italie
Brunello di Montalcino Riserva,Mocali Brunello di Montalcino Riserva 2003,2003,4.4,306,0.0,1,170.0,0,Italie
Barolo Sorì Ginestra,Conterno Fantino Barolo Sorì Ginestra 2008,2008,4.3,4827,4.4,262,361.6666666666667,0,Italie
Château Margaux (Premier Grand Cru Classé),Château Margaux Château Margaux (Premier Grand Cru Classé) 2009,2009,4.6,45350,4.7,594,1423.3333333333333,0,France
Collection,Krug Collection 1995,1995,4.7,2184,4.6,138,2705.0,0,France
Colheita Port,Burmester Colheita Port 1975,1975,4.2,8039,4.5,302,197.0933333333333,0,Portugal
Bolgheri Superiore,Grattamacco Bolgheri Superiore 2005,2005,4.3,14242,4.4,164,388.3333333333333,0,Italie
Amarone della Valpolicella Monte Lodoletta,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2008,2008,4.7,7947,4.7,966,930.0,1,Italie
Pomerol,Château Trotanoy Pomerol 2005,2005,4.4,7221,4.5,325,996.6666666666667,0,France
Châteauneuf-du-Pape,Château de Beaucastel Châteauneuf-du-Pape 2009,2009,4.4,38998,4.4,2403,413.3333333333333,0,France
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1996,1996,4.7,9564,4.8,1004,3843.3333333333335,1,France
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1996,1996,4.7,9564,4.8,1004,3843.3333333333335,1,France
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1996,1996,4.7,9564,4.8,1004,3843.3333333333335,1,France
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1996,1996,4.7,9564,4.8,1004,3843.3333333333335,1,France
Saint-Julien (Grand Cru Classé),Château Léoville Las Cases Saint-Julien (Grand Cru Classé) 2007,2007,4.4,28094,4.4,724,541.6666666666666,0,France
Galatrona,Petrolo Galatrona 2007,2007,4.3,7971,4.5,439,413.3333333333333,0,Italie
Tenuta Tignanello 'Solaia',Antinori Tenuta Tignanello 'Solaia' 2007,2007,4.6,33143,4.7,1564,891.6666666666667,0,Italie
Barbaresco,Gaja Barbaresco 2008,2008,4.5,24516,4.5,1290,626.6666666666667,0,Italie
Sorì San Lorenzo,Gaja Sorì San Lorenzo 2006,2006,4.6,3857,4.5,212,1223.3333333333335,0,Italie
Grand Vin de Château Palmer (Grand Cru Classé),Chateau Palmer Grand Vin de Château Palmer (Grand Cru Classé) 1999,1999,4.5,29026,4.5,1132,840.0,0,France
Sassicaia,Tenuta San Guido Sassicaia 2008,2008,4.6,107646,4.6,4327,825.0,0,Italie
Messorio,Le Macchiole Messorio 2007,2007,4.5,5514,4.4,325,560.0,0,Italie
Carruades de Lafite Pauillac,Château Lafite Rothschild Carruades de Lafite Pauillac 2009,2009,4.4,13866,4.4,738,915.2,0,France
Pomerol,Vieux Château Certan Pomerol 2009,2009,4.4,10374,4.6,354,564.6666666666666,0,France
Tignanello,Antinori Tignanello 1998,1998,4.5,142513,4.5,937,546.6666666666666,1,Italie
Saint-Émilion Grand Cru (Premier Grand Cru Classé),Château Cheval Blanc Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2004,2004,4.6,28198,4.6,1392,1565.0,0,France
Pessac-Léognan Blanc (Grand Cru Classé de Graves),Château Haut-Brion Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2009,2009,4.5,1206,4.6,49,2705.0,0,France
Sassicaia,Tenuta San Guido Sassicaia 2007,2007,4.6,107646,4.6,3612,796.6666666666666,0,Italie
Pomerol,Château La Fleur-Pétrus Pomerol 2010,2010,4.5,12214,4.6,597,768.3333333333333,1,France
Pomerol,Château La Fleur-Pétrus Pomerol 2010,2010,4.5,12214,4.6,597,768.3333333333333,1,France
Château Margaux (Premier Grand Cru Classé),Château Margaux Château Margaux (Premier Grand Cru Classé) 2001,2001,4.6,45350,4.7,1462,1565.0,0,France
Pessac-Léognan (Premier Grand Cru Classé),Château Haut-Brion Pessac-Léognan (Premier Grand Cru Classé) 2006,2006,4.6,39605,4.6,1312,1636.6666666666667,0,France
Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Paul Hobbs Beckstoffer To Kalon Vineyard Cabernet Sauvignon 2005,2005,4.6,1557,4.5,65,346.6666666666667,0,États-Unis
Series C,Vilafonté Series C 2007,2007,4.5,3027,4.5,95,86.66666666666667,0,Afrique du Sud
Clos des Lambrays Grand Cru,Domaine des Lambrays Clos des Lambrays Grand Cru 2009,2009,4.4,6431,4.4,444,1195.0,1,France
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2011,2011,4.6,39283,4.5,941,2166.6666666666665,0,France
Romanée-Saint-Vivant Grand Cru,Domaine Arnoux-Lachaux Romanée-Saint-Vivant Grand Cru 2008,2008,4.5,463,0.0,17,4270.0,0,France
Ornato Barolo,Pio Cesare Ornato Barolo 2006,2006,4.4,5469,4.5,200,283.3333333333333,0,Italie
Barbaresco,Gaja Barbaresco 2007,2007,4.5,24516,4.6,676,918.3333333333334,0,Italie
Château Margaux (Premier Grand Cru Classé),Château Margaux Château Margaux (Premier Grand Cru Classé) 1998,1998,4.6,45350,4.7,1869,1565.0,0,France
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1999,1999,4.6,39283,4.7,1676,1935.0,0,France
Ornato Barolo,Pio Cesare Ornato Barolo 2008,2008,4.4,5469,4.5,397,238.33333333333334,1,Italie
Barbaresco,Gaja Barbaresco 1997,1997,4.5,24516,4.7,627,796.6666666666666,1,Italie
Bric Dël Fiasc Barolo,Paolo Scavino Bric Dël Fiasc Barolo 2000,2000,4.3,4947,4.4,178,325.0,0,Italie
Félix Callejo (Viñedos de la Familia),Callejo Félix Callejo (Viñedos de la Familia) 2005,2005,4.3,1341,4.5,212,406.0,0,Espagne
Galatrona,Petrolo Galatrona 2008,2008,4.3,7971,4.4,433,283.3333333333333,0,Italie
Barbaresco,Gaja Barbaresco 1998,1998,4.5,24516,4.6,733,626.6666666666667,1,Italie
Sorì San Lorenzo,Gaja Sorì San Lorenzo 2001,2001,4.6,3857,4.6,198,1366.6666666666667,0,Italie
Brunello di Montalcino Riserva,Biondi-Santi Brunello di Montalcino Riserva 2004,2004,4.6,3375,4.7,313,1228.3333333333333,0,Italie
Cabernet Sauvignon,Leonetti Cabernet Sauvignon 2008,2008,4.5,3087,4.6,125,238.33333333333334,0,États-Unis
La Grande Dame Brut Champagne,Veuve Clicquot La Grande Dame Brut Champagne 2008,2008,4.5,17474,4.5,2702,555.0,0,France
Tignanello,Antinori Tignanello 2009,2009,4.5,142513,4.5,6923,441.66666666666663,0,Italie
Château Margaux (Premier Grand Cru Classé),Château Margaux Château Margaux (Premier Grand Cru Classé) 2011,2011,4.6,45350,4.6,747,1004.5333333333333,0,France
Barbaresco Rabajà,Bruno Rocca Barbaresco Rabajà 2007,2007,4.3,5469,4.5,176,295.0,0,Italie
Sperss Barolo,Gaja Sperss Barolo 2008,2008,4.6,10950,4.6,563,626.6666666666667,0,Italie
Scrio,Le Macchiole Scrio 2008,2008,4.3,2322,4.4,144,268.3333333333333,0,Italie
Pessac-Léognan (Premier Grand Cru Classé),Château Haut-Brion Pessac-Léognan (Premier Grand Cru Classé) 2008,2008,4.6,39605,4.6,739,1395.0,0,France
Châteauneuf-du-Pape,Château de Beaucastel Châteauneuf-du-Pape 2007,2007,4.4,38998,4.4,2043,225.0,0,France
Pauillac (Grand Cru Classé),Château Lynch-Bages Pauillac (Grand Cru Classé) 1990,1990,4.4,55808,4.6,1319,825.0,0,France
Messorio,Le Macchiole Messorio 2008,2008,4.5,5514,4.5,317,560.0,1,Italie
Barolo Cerequio,Michele Chiarlo Barolo Cerequio 2006,2006,4.3,3839,4.4,236,200.0,0,Italie
Châteauneuf-du-Pape,Château Rayas Châteauneuf-du-Pape 2008,2008,4.7,7544,4.7,754,3956.6666666666665,0,France
Giorgio Bartholomäus,Tenuta Argentiera Giorgio Bartholomäus 2008,2008,4.4,554,4.5,99,821.6666666666666,0,Italie
Amarone della Valpolicella Monte Lodoletta,Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2000,2000,4.7,7947,4.7,276,975.0,0,Italie
Sperss Barolo,Gaja Sperss Barolo 1998,1998,4.6,10950,4.6,555,640.8333333333334,0,Italie
Pomerol,Château La Fleur-Pétrus Pomerol 1998,1998,4.5,12214,4.5,445,911.6666666666666,1,France
Luce,Tenuta Luce Luce 2005,2005,4.4,17470,4.4,365,310.0,0,Italie
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1997,1997,4.7,9564,4.7,1325,3388.333333333333,0,France
Saint-Émilion Grand Cru (Premier Grand Cru Classé),Château Cheval Blanc Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1993,1993,4.6,28198,4.6,667,1281.6666666666667,0,France
Tenuta Guado al Tasso Bolgheri Superiore,Antinori Tenuta Guado al Tasso Bolgheri Superiore 1999,1999,4.5,33392,4.4,750,370.0,0,Italie
R.D Extra Brut Champagne (Récemment Dégorgé),Bollinger R.D Extra Brut Champagne (Récemment Dégorgé) 2008,2008,4.6,7737,4.6,81,399.9866666666667,0,France
Costa Russi (Barbaresco) Langhe,Gaja Costa Russi (Barbaresco) Langhe 1985,1985,4.6,2876,4.7,36,1281.6666666666667,0,Italie
