wine_name,vintage_name,vintage_year,wine_ratings_average,wine_ratings_count,vintage_ratings_average,vintage_rating_count,liter_price_euros,in_top_list,country,popularity_score,value_for_money,popularity_rank,value_rank,combined_rank
Cristal Brut Champagne (Millésimé),Louis Roederer Cristal Brut Champagne (Millésimé) 1999,1999,4.6,42456,4.7,666,1266.6666666666663,1,France,49.01862821273556,0.003631578947368422,134.0,1778.0,956.0
Cristal Brut Champagne (Millésimé),Louis Roederer Cristal Brut Champagne (Millésimé) 1999,1999,4.6,42456,4.7,666,1266.6666666666663,1,France,49.01862821273556,0.003631578947368422,134.0,1778.0,956.0
Cristal Brut Champagne (Millésimé),Louis Roederer Cristal Brut Champagne (Millésimé) 2000,2000,4.6,42456,4.6,959,840.0,0,France,49.01862821273556,0.005476190476190476,134.0,1549.0,841.5
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1997,1997,4.6,39283,4.7,753,1651.6666666666663,0,France,48.66131681776812,0.0027850655903128158,166.0,1895.0,1030.5
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1986,1986,4.6,39283,4.7,1273,3985.0,0,France,48.66131681776812,0.001154328732747804,166.0,2057.0,1111.5
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1992,1992,4.6,39283,4.5,449,1443.4,0,France,48.66131681776812,0.0031869197727587635,166.0,1853.0,1009.5
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1977,1977,4.6,39283,4.5,134,847.0,0,France,48.66131681776812,0.005430932703659976,166.0,1558.0,862.0
Brunello di Montalcino,Lisini Brunello di Montalcino 2004,2004,4.3,7929,4.4,177,190.0,0,Italie,38.60661347407131,0.02263157894736842,825.0,583.0,704.0
Altero Brunello di Montalcino,Poggio Antico Altero Brunello di Montalcino 2004,2004,4.4,4620,4.5,642,165.0,0,Italie,37.12785992993345,0.02666666666666667,978.0,495.0,736.5
Barolo Bricco Gattera,Cordero di Montezemolo Barolo Bricco Gattera 2004,2004,4.4,2365,4.5,46,333.3333333333333,0,Italie,34.18154652407455,0.013200000000000002,1271.0,975.0,1123.0
Special Selection Cabernet Sauvignon,Caymus Special Selection Cabernet Sauvignon 1997,1997,4.7,41236,4.6,299,530.0,0,États-Unis,49.9472146190165,0.008867924528301888,85.0,1233.0,659.0
Sperss Barolo,Gaja Sperss Barolo 2005,2005,4.6,10950,4.6,597,711.6666666666666,0,Italie,42.78503578212537,0.0064637002341920375,498.0,1454.0,976.0
Vürsù Barbaresco Starderi,La Spinetta Vürsù Barbaresco Starderi 2004,2004,4.4,4414,4.4,261,410.0,0,Italie,36.9271609819934,0.010731707317073172,1000.0,1102.0,1051.0
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2003,2003,4.6,39283,4.8,1000,2533.333333333333,1,France,48.66131681776812,0.0018157894736842105,166.0,1988.0,1077.0
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2003,2003,4.6,39283,4.8,1000,2533.333333333333,1,France,48.66131681776812,0.0018157894736842105,166.0,1988.0,1077.0
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2002,2002,4.6,39283,4.6,1332,1850.0,0,France,48.66131681776812,0.0024864864864864865,166.0,1919.0,1042.5
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2004,2004,4.6,39283,4.7,981,1965.0,0,France,48.66131681776812,0.002340966921119593,166.0,1928.0,1047.0
Cuvée Nicolas François Billecart Brut Champagne,Billecart-Salmon Cuvée Nicolas François Billecart Brut Champagne 1998,1998,4.5,6228,4.4,314,480.0,0,France,39.3156473982925,0.009375,751.0,1205.0,978.0
Scrio,Le Macchiole Scrio 2004,2004,4.3,2322,4.5,121,325.0,0,Italie,33.3257918977087,0.01323076923076923,1334.0,972.0,1153.0
Messorio,Le Macchiole Messorio 2005,2005,4.5,5514,4.7,248,560.0,0,Italie,38.76770516212684,0.008035714285714285,804.0,1299.0,1051.5
Tignanello,Antinori Tignanello 2003,2003,4.5,142513,4.5,1028,560.0,0,Italie,53.402348261699956,0.008035714285714285,7.0,1299.0,653.0
Cepparello Red,Isole e Olena Cepparello Red 2003,2003,4.3,12191,4.4,245,198.33333333333331,0,Italie,40.45634899033013,0.021680672268907564,664.0,619.0,641.5
Tignanello,Antinori Tignanello 1989,1989,4.5,142513,4.5,110,383.33333333333337,0,Italie,53.402348261699956,0.011739130434782608,7.0,1038.0,522.5
Barbaresco,Gaja Barbaresco 2000,2000,4.5,24516,4.6,571,655.0,0,Italie,45.4818656007253,0.006870229007633588,341.0,1421.0,881.0
