vintage,vintage_year,rank,previous_rank,award_year,style_name,price_euros,bottle_volume_ml
Il Marroneto Madonna delle Grazie Brunello di Montalcino 2010,2010,2,2,2017,Italian Brunello,1046.25,750
Il Marroneto Madonna delle Grazie Brunello di Montalcino 2010,2010,3,3,2018,Italian Brunello,1046.25,750
Vallone Graticciaia 2012,2012,7,7,2019,Southern Italy Red,111.25,750
Giacomo Conterno Barolo Cascina Francia 2012,2012,9,9,2019,Italian Barolo,420.0,750
Gaja Gaia & Rey Langhe 2006,2006,1,1,2016,Northern Italy White,472.5,375
Quintarelli Giuseppe Veneto Alzero Cabernet 2007,2007,4,4,2019,Northern Italy Red,683.75,750
Quintarelli Giuseppe Veneto Alzero Cabernet 2007,2007,3,3,2020,Northern Italy Red,683.75,750
Biserno Lodovico 2011,2011,8,8,2017,Central Italy Red,683.75,750
Biserno Lodovico 2011,2011,3,3,2018,Tuscan Red,683.75,750
Biserno Lodovico 2011,2011,6,6,2019,Tuscan Red,683.75,750
Vilafonté Series M 2014,2014,7,7,2019,South African Bordeaux Blend,48.0,750
Masseto Toscana 2010,2010,1,1,2017,Central Italy Red,4697.5,1500
Henri Giraud MV Rosé,N.V.,9,9,2019,French Champagne N.V.,293.8,750
Vilafonté Series M 2012,2012,3,3,2017,South African Bordeaux Blend,58.0,750
Vilafonté Series M 2012,2012,6,6,2018,South African Bordeaux Blend,58.0,750
Masseto Toscana 2006,2006,1,1,2020,Tuscan Red,4910.0,1500
Château Mouton Rothschild Le Petit Mouton de Mouton Rothschild Pauillac 2009,2009,10,10,2017,Bordeaux Pauillac,550.0,750
Masseto Toscana 2005,2005,1,1,2016,Central Italy Red,4697.5,1500
Masseto Toscana 2005,2005,2,2,2019,Tuscan Red,4697.5,1500
Masseto Toscana 2004,2004,1,1,2018,Tuscan Red,4163.75,1500
Valdicava Brunello di Montalcino Riserva Madonna del Piano 2010,2010,5,5,2018,Italian Brunello,736.25,1500
Cerbaiona Brunello di Montalcino 2012,2012,8,8,2019,Italian Brunello,276.25,750
Scarecrow Cabernet Sauvignon 2015,2015,1,1,2019,Napa Valley Cabernet Sauvignon,1558.75,750
Dominio de Pingus Pingus 2015,2015,3,3,2020,Spanish Ribera Del Duero Red,2028.75,750
La Spinetta Vürsù Barbaresco Gallina 2013,2013,10,10,2019,Italian Barbaresco,257.5,750
Tua Rita Redigaffi Toscana 2015,2015,10,10,2019,Tuscan Red,470.0,750
Tua Rita Redigaffi Toscana 2015,2015,8,8,2020,Tuscan Red,470.0,750
Achaval-Ferrer Finca Altamira Malbec 2015,2015,6,6,2020,Argentinian Malbec,99.95,750
Bonneau du Martray Corton-Charlemagne Grand Cru 2015,2015,1,1,2019,Burgundy Côte de Beaune White,811.25,750
Cardinale Red 2014,2014,9,9,2020,Napa Valley Bordeaux Blend,399.0,750
Charles Melton Nine Popes 2015,2015,1,1,2019,Australian Rhône Blend Red,114.6,750
Charles Melton Nine Popes 2015,2015,1,1,2020,Australian Rhône Blend Red,114.6,750
Hartenberg The Stork 2015,2015,6,6,2020,South African Syrah,57.95,750
Antinori Tignanello 2016,2016,10,10,2020,Tuscan Red,420.0,750
Roagna Pajè Barbaresco 2013,2013,4,4,2020,Italian Barbaresco,331.25,750
La Grange des Pères Vin de Pays de l'Hérault Blanc 2015,2015,1,1,2020,Languedoc-Roussillon White,961.25,750
Catena Zapata Adrianna Vineyard Mundus Bacillus Terrae Malbec 2014,2014,5,5,2020,Argentinian Malbec,295.0,750
Bodegas Tradición Palo Cortado Tradición Vors 30 Years Sherry,N.V.,1,1,2018,Spanish Sherry,99.95,750
Krug Grande Cuvée,N.V.,6,6,2020,French Champagne N.V.,245.0,750
