group_name,wine_name,acidity,intensity,sweetness,tannin,price_euros_liter
Château Margaux Château Margaux (Premier Grand Cru Classé) 2001,Château Margaux (Premier Grand Cru Classé),4.170338,3.6746032,1.6031541,3.8258963,1565.0
Château Haut-Brion Pessac-Léognan (Premier Grand Cru Classé) 2006,Pessac-Léognan (Premier Grand Cru Classé),4.228074,4.081426,1.6701751,4.236691,1636.6666666666667
Paul Hobbs Beckstoffer To Kalon Vineyard Cabernet Sauvignon 2005,Beckstoffer To Kalon Vineyard Cabernet Sauvignon,3.356546,4.781501,1.6047927,3.3129437,346.6666666666667
Vilafonté Series C 2007,Series C,3.6215973,3.998238,1.7896918,3.3559442,86.66666666666667
Domaine des Lambrays Clos des Lambrays Grand Cru 2009,Clos des Lambrays Grand Cru,4.186641,2.967672,1.7482635,2.650363,1195.0
Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2011,Pauillac (Premier Grand Cru Classé),4.117049,3.9883592,1.6689028,4.1171813,2166.6666666666665
Domaine Arnoux-Lachaux Romanée-Saint-Vivant Grand Cru 2008,Romanée-Saint-Vivant Grand Cru,4.264476,3.1718411,1.9474717,2.722061,4270.0
Pio Cesare Ornato Barolo 2006,Ornato Barolo,4.6555104,3.8188539,1.5658007,4.3928475,283.3333333333333
Gaja Barbaresco 2007,Barbaresco,4.6545653,3.6966581,1.6031228,4.015384,918.3333333333334
Château Margaux Château Margaux (Premier Grand Cru Classé) 1998,Château Margaux (Premier Grand Cru Classé),4.170338,3.6746032,1.6031541,3.8258963,1565.0
Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 1999,Pauillac (Premier Grand Cru Classé),4.117049,3.9883592,1.6689028,4.1171813,1935.0
Pio Cesare Ornato Barolo 2008,Ornato Barolo,4.6555104,3.8188539,1.5658007,4.3928475,238.33333333333334
Gaja Barbaresco 1997,Barbaresco,4.6545653,3.6966581,1.6031228,4.015384,796.6666666666666
Paolo Scavino Bric Dël Fiasc Barolo 2000,Bric Dël Fiasc Barolo,4.6329103,3.8191528,1.6027927,4.374409,325.0
Callejo Félix Callejo (Viñedos de la Familia) 2005,Félix Callejo (Viñedos de la Familia),3.7628725,3.8911045,1.9716685,3.7325103,406.0
Petrolo Galatrona 2008,Galatrona,3.112219,3.493791,1.8441745,3.055552,283.3333333333333
Gaja Barbaresco 1998,Barbaresco,4.6545653,3.6966581,1.6031228,4.015384,626.6666666666667
Gaja Sorì San Lorenzo 2001,Sorì San Lorenzo,4.7262807,3.8454664,1.7701341,4.219747,1366.6666666666667
Biondi-Santi Brunello di Montalcino Riserva 2004,Brunello di Montalcino Riserva,3.830859,3.1464493,1.650779,3.602499,1228.3333333333333
Leonetti Cabernet Sauvignon 2008,Cabernet Sauvignon,3.8692966,3.9644887,1.5403899,3.7955115,238.33333333333334
Veuve Clicquot La Grande Dame Brut Champagne 2008,La Grande Dame Brut Champagne,4.434174,4.023377,,,555.0
Antinori Tignanello 2009,Tignanello,3.082814,3.4132028,1.7224381,2.9867094,441.66666666666663
Château Margaux Château Margaux (Premier Grand Cru Classé) 2011,Château Margaux (Premier Grand Cru Classé),4.170338,3.6746032,1.6031541,3.8258963,1004.5333333333333
Bruno Rocca Barbaresco Rabajà 2007,Barbaresco Rabajà,4.594954,3.727336,1.5450536,4.004881,295.0
Gaja Sperss Barolo 2008,Sperss Barolo,4.666537,3.8432937,1.6009856,4.3828244,626.6666666666667
Le Macchiole Scrio 2008,Scrio,3.1090095,3.4650319,1.7177784,2.986092,268.3333333333333
Château Haut-Brion Pessac-Léognan (Premier Grand Cru Classé) 2008,Pessac-Léognan (Premier Grand Cru Classé),4.228074,4.081426,1.6701751,4.236691,1395.0
Château de Beaucastel Châteauneuf-du-Pape 2007,Châteauneuf-du-Pape,3.1016986,4.6371837,1.724843,2.8933873,225.0
Château Lynch-Bages Pauillac (Grand Cru Classé) 1990,Pauillac (Grand Cru Classé),4.1892757,4.204046,1.6272988,4.23549,825.0
Le Macchiole Messorio 2008,Messorio,3.0969987,3.5081158,1.9021307,3.0368488,560.0
Michele Chiarlo Barolo Cerequio 2006,Barolo Cerequio,4.5820665,3.8003113,1.6345333,4.4023557,200.0
