name,avg_ratings_average,total_ratings_count
Vosne-Romanée Premier Cru 'Les Suchots',4.5,39
40 Years Old Port,4.5,37
Vosne-Romanée,4.5,37
Vosne-Romanée 'Les Quartiers de Nuits',4.5,37
Annunziata Barolo Riserva,4.5,36
Annonciade Champagne,4.5,32
Chambolle-Musigny Les Baudes,4.5,32
Lithology Cabernet Sauvignon,4.5,32
Pommard 1er Cru Les Rugiens-Bas,4.5,32
Primitivo di Manduria,4.5,32
Carpathia Heritage,4.5,31
Clos Le Léon Dizy Champagne,4.5,31
Barolo Ginestra Vigna del Gris,4.5,30
Vosne-Romanée Premier Cru Les Suchots,4.5,29
Chevalier-Montrachet Grand Cru Blanc,4.5,28
Clos de Vougeot Grand Cru,4.5,28
Belles Soeurs Cuvée Pinot Noir,4.5,27
Nuits-Saint-Georges 1er Cru Les Damodes,4.5,27
Pochi Filagn Barbera d'Alba,4.5,27
Volnay 1er Cru Les Caillerets,4.5,26
Falletto Barbaresco Rabaja,4.5,25
Grenache,4.5,25
La Poza de Ballesteros,4.5,25
Meursault 1er Cru 'Charmes',4.5,25
Flaccianello della Pieve,4.4799999999999995,4506
Vürsù Barolo Campè,4.4799999999999995,2130
Brut Rosé Champagne,4.475,45873
5 Stelle Sfursat,4.475,1419
Series M,4.475,1016
Altero Brunello di Montalcino,4.466666666666667,1473
Cuvée Annamaria Clementi (Extra Brut),4.466666666666667,948
Pietro Dal Cero Amarone della Valpolicella,4.466666666666667,838
Barolo Sorì Ginestra,4.466666666666667,625
Cerretta Barolo Riserva (Vigna Bricco),4.466666666666667,364
Aconcagua Valley,4.459999999999999,4386
60 Sessantanni Old Vines Primitivo di Manduria,4.45,18838
Toro,4.45,3214
Carruades de Lafite Pauillac,4.45,2238
Clos des Lambrays Grand Cru,4.45,1957
Tokaji Aszú 5 Puttonyos,4.45,1355
Silex,4.45,1143
Mendoza,4.45,788
Luce Brunello di Montalcino,4.45,628
Bric Dël Fiasc Barolo,4.45,519
Pietradonice,4.45,488
Pajè Barbaresco,4.45,485
Barolo Riserva Vigna Rionda,4.45,410
Montelìg,4.45,394
Pur Sang,4.45,371
Barolo Le Vigne,4.45,368
Ca’ del Merlo Rosso Veneto,4.45,364
Valmezzane Amarone della Valpolicella,4.45,357
Percarlo,4.45,307
Barolo Bussia Cicala,4.45,270
Scrio,4.45,265
Rocche di Castiglione Barolo,4.45,240
Scharzhofberger Riesling Kabinett,4.45,229
Campo Alla Sughera,4.45,228
Lupicaia,4.44,1440
Barolo Brunate,4.44,810
Castello della Sala Cervaro della Sala,4.433333333333334,4543
50 & 50,4.433333333333334,2442
Brunello di Montalcino  Montosoli,4.433333333333334,781
Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva,4.433333333333334,667
Quarz Sauvignon,4.425000000000001,3106
Galatrona,4.425000000000001,1722
Saint-Estèphe (Grand Cru Classé),4.425000000000001,1641
Brut Cuvée Champagne Rosé,4.4,36681
Costasera Amarone della Valpolicella Classico,4.4,15367
Ribera del Duero Reserva,4.4,10266
Pian delle Vigne Brunello di Montalcino,4.4,5877
Blanc de Blancs Brut Champagne Grand Cru,4.4,5553
Cabernet - Cabernet,4.4,5260
Brut Champagne (Gold),4.4,3874
Chateau Buena Vista Cabernet Sauvignon Napa Valley,4.4,3867
Il Pino di Biserno,4.4,3475
Roda I Reserva Rioja,4.4,2944
Pieve Santa Restituta Brunello di Montalcino,4.4,2719
Malbec,4.4,2567
Belle Epoque Brut Champagne,4.4,2217
V.P Extra Brut Champagne Grand Cru 'Ambonnay',4.4,2079
Guerriero della Terra,4.4,1985
Rosé Brut Champagne Grand Cru 'Ambonnay',4.4,1782
St. Henri Shiraz,4.4,1725
Brunello di Montalcino Riserva Vigna Paganelli,4.4,1584
Macán Clásico,4.4,1559
Eight Years In The Desert,4.4,1454
Campo León Amarone della Valpolicella,4.4,1324
Toscana I Sodi di San Niccolo,4.4,1268
Luce,4.4,1245
Le Serre Nuove,4.4,1244
Palo Cortado Tradición Vors 30 Years Sherry,4.4,1050
Bolgheri Superiore Sondraia,4.4,1044
Amarone della Valpolicella Vigna Garzon,4.4,1034
Rioja Reserva,4.4,996
Lion Tamer Napa Valley Red Blend,4.4,991
Barbera d'Alba Vigna Francia,4.4,979
Barolo Bussia,4.4,963
Vürsù Barbaresco Starderi,4.4,942
Gran VU Blend,4.4,929
Saffredi,4.4,920
Vürsù Barbaresco Gallina,4.4,893
Oreno Toscana,4.4,882
Le Petit Mouton de Mouton Rothschild Pauillac,4.4,869
Reserva Ribera del Duero,4.4,840
Domus Aurea Cabernet Sauvignon,4.4,827
Gran Reserva Rioja (Finca Ygay),4.4,827
Memorias,4.4,804
Ribolla Gialla,4.4,794
Mille E Una Notte,4.4,747
5 Puttonyos Aszú (Blue Label),4.4,668
Malleolus,4.4,625
Cream Tradición Vos 20 Years,4.4,623
Poggio Al Vento Brunello di Montalcino Riserva,4.4,616
Kalós Cru Gran Reserva Malbec,4.4,615
30 Year Old Tawny Port,4.4,602
Campo dei Gigli Amarone della Valpolicella,4.4,588
Poggio Alle Nane Maremma Toscana,4.4,572
Altagracia Cabernet Sauvignon,4.4,552
Côtes du Rhône,4.4,551
Dagromis Barolo,4.4,547
Quinta da Leda Douro,4.4,536
San Vicente Rioja,4.4,535
TD9,4.4,524
Evenstad Reserve Pinot Noir,4.4,519
Chassagne-Montrachet,4.4,516
La Cueva del Contador Rioja,4.4,492
Riserva Nova Domus Terlaner,4.4,490
Gaudium,4.4,484
Dona Ermelinda Grande Reserva,4.4,483
Kevin Arnold Shiraz,4.4,466
Vacqueyras,4.4,453
Tenuta Montebello Picconero,4.4,444
Tokaji Aszú 3 Puttonyos,4.4,440
Margaux (Grand Cru Classé),4.4,438
Cepparello Red,4.4,416
Cosimo Varvaglione Collezione Privata Primitivo di Manduria,4.4,408
Barolo Cannubi,4.4,388
Barolo Cannubi Boschis,4.4,387
Les Noisetiers,4.4,386
Vigna Cappella di S. Stefano Perno Barolo,4.4,384
Relentless,4.4,382
La Piu Belle,4.4,378
Barolo Riserva Bricco Boschis Vigna San Giuseppe,4.4,367
Gran Malbec (X),4.4,367
Esporão Private Selection Tinto,4.4,365
40 Years Old Tawny Port,4.4,357
Toscana Batar,4.4,355
Victorino,4.4,354
Cuvée Impériale Châteauneuf-du-Pape,4.4,353
Côte-Rôtie,4.4,353
Calle Merlot Rosso Veronese,4.4,347
Bricco dell'Uccellone Barbera d'Asti,4.4,345
Vittorio Moretti,4.4,344
Mai The First A.Montes Malbec,4.4,338
Perpetual,4.4,336
Corte di Cama Sforzato di Valtellina,4.4,332
Capellanía Reserva,4.4,324
Falletto Barolo,4.4,322
Cuvée Nicolas François Billecart Brut Champagne,4.4,314
Toscana Camartina,4.4,310
RWT Bin 798 Shiraz,4.4,309
Valdegines,4.4,305
Chafandin,4.4,304
Fleur de Miraval Exclusivement Rosé Champagne,4.4,304
Crescendo,4.4,301
Cosimo Varvaglione Collezione Privata Negroamaro del Salento,4.4,284
Châteauneuf-du-Pape Chaupin,4.4,283
Il Bacca Old Vine Primitivo di Manduria,4.4,276
Old Vines Primitivo di Manduria,4.4,274
Clos de la Coulée de Serrant,4.4,262
Ulysses,4.4,261
Graticciaia,4.4,260
Nine Popes,4.4,260
Puligny-Montrachet,4.4,256
Cinque Autoctoni Collection Limited Release,4.4,255
Baron de L Pouilly-Fumé,4.4,252
Clos des Porrets Nuits-Saint-Georges 1er Cru,4.4,251
Merlot (Signature),4.4,251
Falletto Barbaresco Asili,4.4,242
Vieilles Vignes Meursault,4.4,242
Blanc des Millénaires,4.4,240
Nebukadnesar,4.4,239
Barolo Prapò,4.4,237
Barolo Cerequio,4.4,236
Winemaker's Selection,4.4,234
Saint-Joseph,4.4,233
Aile d'Argent Blanc Bordeaux,4.4,231
Capitel Monte Olmi Amarone della Valpolicella Classico Riserva,4.4,231
Cuvée Kermesse Rosso,4.4,231
The Mackenzie,4.4,229
Carabantes Syrah,4.4,227
Gran Reserva Ribera del Duero,4.4,227
Barolo Ciabot Mentin Ginestra,4.4,225
Rapture Cabernet Sauvignon,4.4,224
Sassella Nuova Regina Riserva,4.4,220
Rioja Reserva 10 Años Después Edición Limitada,4.4,219
Aszú 6 puttonyos,4.4,218
Gewürztraminer Lunare,4.4,218
Giramonte Toscana,4.4,214
Belondrade y Lurton,4.4,213
Domaine des Tourettes Hermitage Rouge,4.4,212
Barbaresco Gaiun Martinenga,4.4,205
La Chapelle de La Mission Haut-Brion Pessac-Léognan,4.4,201
50 Old Vines Vecchie Vigne Negroamaro,4.4,200
Il Bricco Barbaresco,4.4,197
Bordeaux,4.4,195
Barolo Ginestra Casa Maté,4.4,191
Mongovone Barbera d'Asti Superiore,4.4,191
Barolo Paiagallo,4.4,187
Cuvée Risleus Brut Champagne Premier Cru,4.4,187
Giallo d'Arles Greco di Tufo,4.4,186
Old Vines Malbec,4.4,177
Colore Toscana,4.4,176
Cresasso Corvina Veronese,4.4,172
Poggio all'Oro Brunello di Montalcino Riserva,4.4,172
Brunello di Montalcino Riserva Pian di Conte,4.4,171
Amarone Della Valpolicella Marta Galli,4.4,168
Os Paulistas Chão dos Eremitas Vinhas Velhas,4.4,168
Royal St Robert Cuvée Pinot Noir,4.4,166
Cava Celler Batlle,4.4,163
Platinum,4.4,162
Ben Ryé Passito di Pantelleria,4.4,161
Rioja 150 Aniversario,4.4,154
Buisson Renard,4.4,153
Le Petit Cheval Bordeaux Blanc,4.4,153
Vieilles Vignes La Parcelle 8 Apalta,4.4,152
Petracs Furmint,4.4,146
Barolo Riserva Leon,4.4,144
Linticlarus Lagrein Riserva,4.4,144
Maggiarino Vino Nobile di Montepulciano,4.4,144
25 anni Montefalco Sagrantino,4.4,143
Blanc de Blancs Brut Champagne (Vintage),4.4,143
Chassagne-Montrachet 1er Cru 'La Maltroie',4.4,143
Minami,4.4,142
Amarone della Valpolicella Monte Lodoletta,4.330769230769231,4750
Pessac-Léognan (Premier Grand Cru Classé),4.3066666666666675,11910
Sassicaia,4.22,69137
Saint-Julien (Grand Cru Classé),4.21875,7428
Pauillac (Grand Cru Classé),4.159999999999999,15517
'Giulio Ferrari' Riserva del Fondatore,4.140000000000001,6885
